Index,NumStates, TimeTaken(ms),EquivalenceQueries, MembershipQueries
462,153,51,11,133085
463,166,53,12,135870
464,131,51,12,126320
465,244,125,16,307800
466,205,83,12,206982
467,214,92,12,231454
468,62,21,9,53577
469,118,59,16,154099
470,147,52,11,131794
471,1,0,1,65
472,185,85,13,210768
473,202,139,26,345641
474,15,1,5,5260
475,11,2,5,5231
476,204,75,12,188246
477,203,110,16,276743
478,130,54,12,138408
479,157,55,13,134600
480,35,9,8,25514
481,14,2,4,4814
482,67,17,9,45773
483,108,38,11,102000
484,156,137,20,321647
485,170,89,16,226685
486,187,137,20,346522
487,205,81,13,198830
488,120,36,11,95019
489,168,217,28,504076
490,25,4,7,14654
491,55,25,13,68178
492,113,73,18,181823
493,80,21,10,58611
494,173,154,25,383911
495,244,109,16,270301
496,62,45,15,113637
497,179,81,11,197089
498,11,1,5,3890
499,65,16,8,43084
500,74,25,12,64973
501,18,5,5,13051
502,134,123,20,305968
503,217,109,17,270700
504,50,18,10,50013
505,52,16,8,40836
506,1,0,1,65
507,106,49,13,131143
508,168,62,11,159778
509,90,28,9,76106
510,156,72,12,185051
511,88,36,9,92332
512,135,242,29,544391
513,239,122,18,301829
514,179,78,13,197878
515,91,31,10,81014
516,188,75,17,181888
517,32,9,9,25262
518,22,3,8,9268
519,141,105,19,264858
520,104,37,10,96538
521,59,20,12,55900
522,125,39,8,100534
523,81,33,12,86580
524,226,84,12,210805
525,149,77,15,196965
526,227,115,14,289281
527,138,85,15,210673
528,142,49,13,127120
529,80,66,18,149065
530,88,70,14,165172
531,182,75,13,183709
532,235,87,13,224363
533,44,11,7,29385
534,1,0,1,65
535,212,120,16,289516
536,62,22,11,56157
537,115,39,12,107791
538,200,501,35,1095425
539,167,94,16,240374
540,225,171,15,414062
541,46,13,9,36671
542,150,56,11,140617
543,69,16,7,45575
544,179,196,25,467253
545,156,93,17,232611
546,198,89,15,221650
547,119,53,14,138276
548,59,32,15,82402
549,81,73,13,182672
550,233,100,14,252447
551,191,136,20,330890
552,99,37,12,99181
553,39,13,10,35589
554,144,59,13,153290
555,225,87,13,212536
556,172,175,23,428964
557,176,71,12,166222
558,1,0,1,65
559,1,0,1,65
560,37,8,11,21958
561,22,9,10,24223
562,249,224,21,522094
563,195,119,18,303770
564,103,28,11,76066
565,128,49,10,127591
566,182,160,21,381969
567,58,33,15,88099
568,188,79,15,188817
569,231,107,13,264382
570,111,44,8,114213
571,94,118,23,283314
572,74,19,9,50349
573,99,30,12,80544
574,66,38,19,98094
575,94,74,16,190727
576,104,41,12,108746
577,24,5,7,15152
578,20,6,5,15125
579,97,44,15,113345
580,1,0,1,65
581,156,289,24,651453
582,188,136,24,334689
583,138,48,8,125607
584,191,82,12,203824
585,69,49,10,118358
586,98,33,11,85825
587,52,20,12,55599
588,169,69,13,177418
589,229,120,17,292373
590,121,58,14,153628
591,222,353,32,805398
592,208,233,26,569872
593,21,4,5,11476
594,65,20,10,54460
595,240,145,18,343673
596,51,14,11,41480
597,37,10,8,29310
598,69,23,9,63331
599,1,0,1,65
600,181,69,12,170212
601,98,34,12,87469
602,15,2,5,6162
603,242,152,18,376447
604,35,8,8,22344
605,108,52,13,134221
606,25,7,9,18285
607,128,40,9,108655
608,1,1,1,65
609,144,138,18,329755
610,204,182,26,453939
611,193,69,14,172662
612,148,185,25,441919
613,1,0,1,65
614,22,7,5,18544
